ID	Assignment	Tutorial	Midterm	Takehome	Final
PAD-01	57.14	N/A	64.38	51.48	PASS
PAD-02	95.05	NA	67.50	99.07	PASS
PAD-03	83.70	NA	30.00	63.15	FAIL
PAD-04	NaN	96.06	49.38	105.93	PASS
PAD-05	91.32	93.64	95.00	_	PASS
PAD-06	95.00	92.58	93.12	97.78	PASS
PAD-07	95.05	na	56.25	99.07	PASS
PAD-08		86.85	60.00		PASS
PAD-09	84.26	93.10	47.50	18.52	PASS
PAD-10	90.10	97.55	51.25	88.89	PASS
PAD-11	80.44	90.20	75.00	91.48	FAIL
PAD-12	NA	81.11	74.38	87.59	PASS
PAD-13	NA	N/A	72.50	93.52	PASS
PAD-14	NA	83.53	81.25	99.81	PASS
PAD-15	84.80	89.08	44.38	16.91	FAIL
PAD-16	93.83	95.43	88.12		PASS
PAD-17	84.80	89.08	47.50	16.91	PASS
PAD-18	92.01	N/A	38.75	86.11	FAIL
PAD-19	55.14	na	75.00	_	PASS
PAD-20	93.04	82.93	79.38	83.33	PASS
PAD-21	NaN	86.21	63.12	72.78	PASS
PAD-22	75.27	97.52	63.12	_	PASS
PAD-23	63.78	na	39.38	42.22	FAIL
